rightwing,gender,age,extraverted,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional
55,male,48,6,3,7,2,6,7,7,2,6,3
24,male,25,2,5,3,5,5,4,7,4,5,2
66,male,33,2,4,3,5,5,7,5,5,4,4
23,male,44,5,4,5,1,7,2,6,1,7,4
35,male,26,2,5,6,4,6,6,7,5,6,3
28,male,44,1,7,3,5,7,3,6,4,3,7
38,male,33,2,5,6,6,5,6,7,3,5,3
55,male,30,2,3,5,5,6,7,5,4,4,3
34,male,23,3,5,5,2,6,5,7,4,4,3
37,male,28,6,5,6,1,7,4,6,1,6,5
56,male,29,6,6,5,3,5,2,2,4,5,6
34,male,48,2,5,6,4,7,5,7,5,5,2
48,male,33,4,6,3,5,5,5,4,3,6,2
52,male,33,2,3,7,3,6,7,6,2,6,4
41,male,27,3,5,6,5,2,7,4,5,7,6
74,male,26,5,6,4,1,6,7,6,5,7,2
26,male,24,5,6,7,2,7,3,5,2,6,1
56,male,23,1,7,1,1,4,7,1,6,4,4
48,male,42,3,6,4,5,6,5,5,5,5,5
38,male,29,1,5,5,5,6,6,2,5,5,3
35,male,26,1,6,3,2,6,7,6,5,7,6
41,male,25,4,6,5,4,6,5,6,5,3,4
31,male,29,2,5,4,5,6,7,5,3,7,1
50,male,27,1,5,6,3,3,7,5,5,7,1
27,male,20,4,6,5,3,4,6,6,4,4,3
29,male,18,7,5,6,1,6,1,6,3,4,3
47,male,24,2,5,6,2,5,7,6,5,6,4
38,male,20,5,5,5,6,5,7,6,5,5,5
42,male,29,6,5,6,2,7,5,7,5,7,4
44,male,27,5,3,5,1,6,5,2,5,6,5
44,male,34,1,5,6,5,7,7,1,5,6,3
59,male,33,3,5,6,5,6,5,1,2,5,5
47,female,33,6,3,5,3,7,3,5,3,4,1
74,male,21,3,5,4,5,6,2,5,5,6,1
27,male,41,4,5,3,2,7,5,4,5,4,7
39,male,39,2,6,7,2,6,6,4,3,4,2
27,male,20,2,5,5,6,3,1,7,7,6,2
26,male,45,2,5,3,2,6,5,5,5,5,3
22,male,25,2,6,4,1,2,6,5,4,6,6
30,male,35,1,2,2,1,6,6,7,5,6,5
20,male,27,6,2,6,3,6,3,6,3,6,3
75,male,23,6,5,3,1,5,3,5,5,7,2
41,male,18,2,6,5,3,6,7,4,5,6,3
23,female,39,2,3,6,1,2,5,6,1,5,1
34,female,27,4,4,7,3,7,5,5,1,6,1
41,male,28,1,2,3,7,6,7,5,7,5,7
27,female,32,3,2,6,2,7,5,6,2,7,1
31,male,23,6,5,3,1,7,3,6,4,4,3
37,female,22,2,6,6,2,5,6,4,3,6,4
45,male,24,3,5,5,3,5,6,6,4,2,2
37,male,36,1,7,6,5,5,7,3,5,6,2
38,male,34,6,5,2,1,7,3,5,5,7,1
57,female,24,1,7,1,7,1,7,2,7,1,2
20,male,27,2,6,5,5,7,6,2,4,3,1
39,male,27,2,6,5,6,6,3,5,6,2,3
27,male,35,4,2,7,1,7,5,6,4,6,1
29,male,19,2,6,4,5,5,7,6,6,6,5
49,male,24,6,5,3,1,5,3,4,2,6,2
32,male,21,1,2,4,6,7,5,6,7,2,1
50,male,27,2,2,6,6,6,6,5,4,5,3
35,male,29,3,6,7,1,6,5,3,4,6,2
59,male,31,1,5,7,6,2,7,6,2,7,5
21,male,26,4,5,5,2,6,6,6,4,5,3
32,female,21,7,5,4,7,5,3,5,4,3,2
56,male,18,4,5,3,5,5,7,6,6,4,5
32,male,26,3,2,7,3,6,6,5,2,7,4
40,male,40,2,6,5,3,7,5,6,3,3,1
64,female,24,2,2,5,6,1,7,7,2,4,7
37,male,24,6,5,5,2,6,5,5,1,6,3
65,male,24,1,6,7,3,6,7,6,2,6,2
38,male,23,5,6,4,5,7,6,6,4,5,2
28,male,28,4,3,6,1,7,6,6,2,7,4
33,male,21,3,6,2,2,5,7,4,5,6,5
58,male,20,1,5,4,1,3,5,2,2,4,7
30,male,26,2,6,1,6,7,7,4,7,2,5
54,male,31,5,5,3,5,6,5,6,5,5,3
27,male,25,2,6,5,1,7,7,3,5,6,2
30,male,22,2,6,4,5,7,5,1,1,6,1
31,male,29,3,5,4,2,6,4,5,6,5,2
30,female,47,2,3,6,2,7,6,7,1,6,1
33,male,34,6,6,5,4,6,2,6,5,3,2
58,male,41,3,3,5,2,6,5,5,5,6,2
